name,SimplifiedDisease,Disease,TissueOfOrigin,url,catalogueNumber,Collection,Species
FM-55-M2,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-55-m2,13012559,General Cell,Human
FM-55-M1,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-55-m1,13012546,General Cell,Human
UKRV-Mel-6b,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ukrv-mel-6b,13012538,General Cell,Human
UKRV-Mel-14b,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ukrv-mel-14b,13012529,General Cell,Human
Ma-Mel-22,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ma-mel-22,13012452,General Cell,Human
NZM1,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/nzm1,17020202,General Cell,Human
NZM2,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/nzm2,17020203,General Cell,Human
NZM6,Other,Melanoma,Other,https://www.culturecollections.org.uk/nop/product/nzm6,17020207,General Cell,Human
NZM11,Other,Melanoma,Other,https://www.culturecollections.org.uk/nop/product/nzm11,17020209,General Cell,Human
NZM30,Other,Melanoma,Other,https://www.culturecollections.org.uk/nop/product/nzm30,17020211,General Cell,Human
NZM43,Other,Melanoma,Lung,https://www.culturecollections.org.uk/nop/product/nzm43,17020214,General Cell,Human
HT29-5M21,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29-5m21,15121706,General Cell,Human
HT29-5F7,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29-5f7,15121701,General Cell,Human
Nb2-11,Lymphoma,Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/nb2-11,97041101,General Cell,Rat
PANC-1,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/panc-1,87092802,General Cell,Human
SerBob,Blastoma,Glioblastoma/Astrocytoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/serbob,10021101,General Cell,Human
MM603,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm603,11072801,General Cell,Human
DH82,Sarcoma,Sarcoma,Not Specified,https://www.culturecollections.org.uk/nop/product/dh82,94062922,General Cell,Canine
WRL 68 (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/wrl-68-hela-derivative,89121403,General Cell,Human
Neuro 2a,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/neuro-2a,89121404,General Cell,Mouse
COLO 205,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-205,87061208,General Cell,Human
Ca Ski,Carcinoma,Squamous Cell Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/ca-ski,87020501,General Cell,Human
COLO 320HSR,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-320hsr,87101501,General Cell,Human
DBTRG.05MG,Blastoma,Glioblastoma,Brain,https://www.culturecollections.org.uk/nop/product/dbtrg05mg,93061119,General Cell,Human
COLO 800,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/colo-800,93051123,General Cell,Human
CCF-STTG1,Other,Astrocytoma,Brain,https://www.culturecollections.org.uk/nop/product/ccf-sttg1,90021502,General Cell,Human
COR-L88,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l88,92031917,General Cell,Human
COLO 741,Carcinoma,Carcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-741,93052621,General Cell,Human
ESO26,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/eso26,11012009,General Cell,Human
HCT-15,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hct-15,91030712,General Cell,Human
Hep 3B,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/hep-3b,86062703,General Cell,Human
HOS,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/hos,87070202,General Cell,Human
G-402,Blastoma,Leiomyoblastoma,Kidney,https://www.culturecollections.org.uk/nop/product/g-402,90112715,General Cell,Human
HGC-27,Carcinoma,Carcinoma,Lymph node,https://www.culturecollections.org.uk/nop/product/hgc-27,94042256,General Cell,Human
Hs 633T,Sarcoma,Fibrosarcoma,Other,https://www.culturecollections.org.uk/nop/product/hs-633t,89050201,General Cell,Human
KYAE-1,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/kyae-1,11012002,General Cell,Human
KARPAS-422,Lymphoma,Non-Hodgkin Lymphoma,Not Specified,https://www.culturecollections.org.uk/nop/product/karpas-422,06101702,General Cell,Human
KYSE-70,Carcinoma,Squamous Cell Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/kyse-70,94072012,General Cell,Human
KARPAS-1106P,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/karpas-1106p,06072607,General Cell,Human
HT 1376,Carcinoma,Bladder Carcinoma,Bladder,https://www.culturecollections.org.uk/nop/product/ht-1376,87032402,General Cell,Human
JIYOYE,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/jiyoye,88071302,General Cell,Human
HT115,Carcinoma,Carcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht115,85061104,General Cell,Human
KU-812,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/ku-812,90071807,General Cell,Human
NTERA-2 clone D1,Carcinoma,Carcinoma,Testis,https://www.culturecollections.org.uk/nop/product/ntera-2-clone-d1-4,01071221,General Cell,Human
NCI-H358,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/nci-h358,95111733,General Cell,Human
MFE-296,Carcinoma,Adenocarcinoma,Uterus,https://www.culturecollections.org.uk/nop/product/mfe-296,98031101,General Cell,Human
MC116,Lymphoma,Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/mc116,90110501,General Cell,Human
QIMR-WIL,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/qimr-wil,86030601,General Cell,Human
H69,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/h69,91091802,General Cell,Human
MG-63,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/mg-63,86051601,General Cell,Human
OV17R,Carcinoma,Adenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/ov17r,96020763,General Cell,Human
SK-N-DZ,Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/sk-n-dz,94092305,General Cell,Human
T84,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/t84,88021101,General Cell,Human
RPMI 2650,Carcinoma,Squamous Cell Carcinoma,Other,https://www.culturecollections.org.uk/nop/product/rpmi-2650,88031602,General Cell,Human
T47D,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/t47d,85102201,General Cell,Human
RO82-W-1,Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/ro82-w-1,92030502,General Cell,Human
ACHN,Carcinoma,Carcinoma,Kidney,https://www.culturecollections.org.uk/nop/product/achn,88100508,General Cell,Human
U-2 OS,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/u-2-os,92022711,General Cell,Human
NS0-Serum-Free,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/ns0-serum-free,03061601,General Cell,Mouse
FTC-133,Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/ftc-133,94060901,General Cell,Human
DLKP,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/dlkp,20082601,General Cell,Human
LBRM-33-1A5,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/lbrm-33-1a5,86060302,General Cell,Mouse
Y79,Blastoma,Retinoblastoma,Eye,https://www.culturecollections.org.uk/nop/product/y79,86093003,General Cell,Human
KHOS-240S,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/khos-240s,86112810,General Cell,Human
KHOS-312H,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/khos-312h,86112811,General Cell,Human
COLO 685,Carcinoma,Adenocarcinoma,Uterus,https://www.culturecollections.org.uk/nop/product/colo-685,87061206,General Cell,Human
"MNNG/HOS (TE85, Clone F-5)",Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/mnnghos-te85-clone-f-5,87070201,General Cell,Human
COLO 201,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-201,87091201,General Cell,Human
L5178Y,Leukaemia,Leukaemia,Other,https://www.culturecollections.org.uk/nop/product/l5178y,87111908,General Cell,Mouse
Chang Liver (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/chang-liver-hela-derivative,88021102,General Cell,Human
NFS-70 C10,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/nfs-70-c10,88041905,General Cell,Mouse
Jurkat E6.1,Leukaemia,Lymphoblastic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/jurkat-e61,88042803,General Cell,Human
C8166,Cancer,Cancer,Blood,https://www.culturecollections.org.uk/nop/product/c8166,88051601,General Cell,Human
WILCL,Tumour,Lung Tumour,Blood,https://www.culturecollections.org.uk/nop/product/wilcl,89120565,General Cell,Human
MOLT-3,Leukaemia,Lymphoblastic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/molt-3,90021901,General Cell,Human
LL47 (MaDo),Cancer,Normal Tissue from Cancer Patient,Lung,https://www.culturecollections.org.uk/nop/product/ll47-mado,90102538,General Cell,Human
45.6.TG1.7,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/456tg17,90110506,General Cell,Mouse
UMR-106,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/umr-106,90111314,General Cell,Rat
MMT-060562,Tumour,Tumour,Breast,https://www.culturecollections.org.uk/nop/product/mmt-060562,90111911,General Cell,Mouse
ND27,Blastoma,Neuroblastoma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/nd27,92090912,General Cell,Hybrid
COLO 853,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/colo-853,93052606,General Cell,Human
COLO 206F,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/colo-206f,93052620,General Cell,Human
COLO 677,Myeloma,Myeloma,Blood,https://www.culturecollections.org.uk/nop/product/colo-677,93072109,General Cell,Human
M3 Clone M-3,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/m3-clone-m-3,93120827,General Cell,Mouse
KB (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/kb-hela-derivative,94050408,General Cell,Human
RPMI 7932,Other,Melanoma,Lung,https://www.culturecollections.org.uk/nop/product/rpmi-7932,94072246,General Cell,Human
BW1J,Carcinoma,Hepatocellular Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/bw1j,94101901,General Cell,Mouse
C2,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/c2,94101906,General Cell,Rat
MAT-Lu,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/mat-lu,94102735,General Cell,Rat
BE(2)-C,Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/be2-c,95011817,General Cell,Human
GR-M,Carcinoma,Adenocarcinoma,Other,https://www.culturecollections.org.uk/nop/product/gr-m,95032301,General Cell,Human
MES-SA/Dx-5,Sarcoma,Sarcoma,Uterus,https://www.culturecollections.org.uk/nop/product/mes-sadx-5,95051031,General Cell,Human
HtTA-1,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/htta-1,95091410,General Cell,Human
HR5-CL11,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hr5-cl11,95091411,General Cell,Human
NCI-H69/LX10,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/nci-h69lx10,96042331,General Cell,Human
MOR/0.4R,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/mor04r,96042334,General Cell,Human
COR-L23/5010,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l235010,96042338,General Cell,Human
COR-L23/R,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l23r,96042339,General Cell,Human
A375-C6,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/a375-c6,97011321,General Cell,Human
HMT-3522 T4-2,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/hmt-3522-t4-2,98102212,General Cell,Human
ATDC5,Carcinoma,Teratocarcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/atdc5,99072806,General Cell,Mouse
HCA-46,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-46,07031601,General Cell,Human
VP229,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/vp229,05092804,General Cell,Human
833KE,Carcinoma,Carcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/833ke,06072611,General Cell,Human
COV362.4,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov3624,07071904,General Cell,Human
COR-L26,Carcinoma,Large Cell Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l26,96020740,General Cell,Human
P3X63Ag8.653-TurboDoma,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/p3x63ag8653-turbodoma,03092502,General Cell,Mouse
1-5c-4 (HeLa deriative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/1-5c-4-hela-deriative,88021103,General Cell,Human
HTK-,Myeloma,Osteomyeloma,Bone,https://www.culturecollections.org.uk/nop/product/htk-,88022409,General Cell,Human
LUDLU-1,Carcinoma,Squamous Cell Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/ludlu-1,92012463,General Cell,Human
CALU 1,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/calu-1,93120818,General Cell,Human
VP267,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/vp267,05092805,General Cell,Human
NCI-H322,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/nci-h322,95111734,General Cell,Human
BHL-89,Lymphoma,Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/bhl-89,98070109,General Cell,Human
C16 (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/c16-hela-derivative,84121902,General Cell,Human
P815-1-1,Other,Mastocytoma,Breast,https://www.culturecollections.org.uk/nop/product/p815-1-1,85011406,General Cell,Mouse
RAJI'A',Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/rajia,85022102,General Cell,Human
EL4,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/el4,85023105,General Cell,Mouse
RAMOS-EHRB,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ramos-ehrb,85030804,General Cell,Human
TR6Bc1,Other,Schwannoma,Nerve,https://www.culturecollections.org.uk/nop/product/tr6bc1,85042301,General Cell,Mouse
Pu-518,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/pu-518,85051501,General Cell,Mouse
RED.1,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/red1,85092601,General Cell,Mouse
D98/AH2 Clone B (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/d98ah2-clone-b-hela-derivative,85112701,General Cell,Human
EL4.BU.OU6,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/el4buou6,85121301,General Cell,Mouse
54SCC7,Blastoma,Neuroblastoma,Other,https://www.culturecollections.org.uk/nop/product/54scc7,08062518,General Cell,Hybrid
108CC5,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5,08062521,General Cell,Hybrid
108CC5T-BU-1,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5t-bu-1,08062570,General Cell,Hybrid
108CC5-TG-2,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-tg-2,08062544,General Cell,Hybrid
108CC15,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc15,08062516,General Cell,Hybrid
108CC5-BU-5,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-bu-5,08062567,General Cell,Hybrid
328/7,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/3287,08062530,General Cell,Mouse
328/8,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/3288,08062531,General Cell,Mouse
NS20Y-BU-4,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/ns20y-bu-4,08062503,General Cell,Mouse
HCA-7 Colony 6,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-7-colony-6,09071504,General Cell,Human
HCA-7 Colony 30,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-7-colony-30,09071516,General Cell,Human
Mero-48a,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/mero-48a,09100104,General Cell,Human
ES-R1,Other,Mesothelioma,Embryo,https://www.culturecollections.org.uk/nop/product/es-r1,07072001,General Cell,Mouse
MM426,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm426-2,10092320,General Cell,Human
JU77,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/ju77-2,10092309,General Cell,Human
LO68,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/lo68-2,10092311,General Cell,Human
MM127,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm127-2,10092314,General Cell,Human
P4E6,Carcinoma,Carcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/p4e6,10112301,General Cell,Human
Shmac 5,Cancer,Prostate Cancer,Prostate gland,https://www.culturecollections.org.uk/nop/product/shmac-5,10112303,General Cell,Human
MM576,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm576,11072802,General Cell,Human
SPC212,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/spc212,11120717,General Cell,Human
Me19-TG2,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/me19-tg2,11120836,General Cell,Rat
Me9-TG3,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/me9-tg3,11120841,General Cell,Rat
LIM1899,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/lim1899-2,12062001,General Cell,Human
LIM2550,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/lim2550,12070504,General Cell,Human
FM-45,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-45,13012410,General Cell,Human
FM-57,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-57,13012418,General Cell,Human
FM-92,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-92,13012429,General Cell,Human
FM-3.13,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-313,13012516,General Cell,Human
FM-3.26,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-326,13012554,General Cell,Human
UKRV-Mel-2,Other,Melanoma,Lung,https://www.culturecollections.org.uk/nop/product/ukrv-mel-2,13012436,General Cell,Human
UKRV-Mel-3,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ukrv-mel-3,13012499,General Cell,Human
Ma-Mel-4,Other,Melanoma,Bladder,https://www.culturecollections.org.uk/nop/product/ma-mel-4,13012519,General Cell,Human
Ma-Mel-5,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ma-mel-5,13012461,General Cell,Human
Ma-Mel-7,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ma-mel-7,13012459,General Cell,Human
UKRV-Mel-19b,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ukrv-mel-19b,13012536,General Cell,Human
NZM7,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/nzm7,17020208,General Cell,Human
HT29-MTX resistant *(1 microMolar),Cancer,Cancer,Colon,https://www.culturecollections.org.uk/nop/product/ht29-mtx-resistant-1-micromolar,15121705,General Cell,Human
HT29-5FU resistant (10 microMolar),Cancer,Cancer,Colon,https://www.culturecollections.org.uk/nop/product/ht29-5fu-resistant-10-micromolar,15121709,General Cell,Human
Bob,Carcinoma,Adenocarcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/bob-2,10021102,General Cell,Human
SH-SY5Y,Blastoma,Neuroblastoma,Bone,https://www.culturecollections.org.uk/nop/product/sh-sy5y,94030304,General Cell,Human
AC29,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/ac29-2,10092308,General Cell,Mouse
LIM2537,Carcinoma,Carcinoma,Colon,https://www.culturecollections.org.uk/nop/product/lim2537,21102106,General Cell,Human
Ci-1 (formerly known as Ri-1),Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/ci-1-formerly-known-as-ri-1,96090512,General Cell,Human
RAW 264.7,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/raw-2647,91062702,General Cell,Mouse
HeLa-Mitotrap,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-mitotrap,15042201,General Cell,Human
22Rv1,Carcinoma,Carcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/22rv1,05092802,General Cell,Human
ARH 77,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/arh-77,88121201,General Cell,Human
KARPAS-929,Myeloma,Myeloma,Bone,https://www.culturecollections.org.uk/nop/product/karpas-929,06072606,General Cell,Human
HL60,Leukaemia,Promyelocytic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/hl60,98070106,General Cell,Human
G-361,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/g-361,88030401,General Cell,Human
BxPC-3,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/bxpc-3,93120816,General Cell,Human
HeLa,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela,93021013,General Cell,Human
C32 (melanoma),Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/c32-melanoma,87090201,General Cell,Human
Hs 578T,Carcinoma,Ductal Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/hs-578t,86082104,General Cell,Human
COR-L23,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l23,92031919,General Cell,Human
JVM-2,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/jvm-2,96090515,General Cell,Human
LNCap clone FGC,Carcinoma,Carcinoma,Prostate gland,https://www.culturecollections.org.uk/nop/product/lncap-clone-fgc,89110211,General Cell,Human
MFE-280,Carcinoma,Adenocarcinoma,Uterus,https://www.culturecollections.org.uk/nop/product/mfe-280,98050131,General Cell,Human
MES-SA,Sarcoma,Sarcoma,Uterus,https://www.culturecollections.org.uk/nop/product/mes-sa,95051030,General Cell,Human
JEG3,Carcinoma,Choriocarcinoma,Placenta,https://www.culturecollections.org.uk/nop/product/jeg3,92120308,General Cell,Human
HT 1197,Carcinoma,Bladder Carcinoma,Bladder,https://www.culturecollections.org.uk/nop/product/ht-1197,87032403,General Cell,Human
LS180,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ls180,87021202,General Cell,Human
MCC13,Carcinoma,Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/mcc13-2,10092302,General Cell,Human
OACP4 C,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/oacp4-c,11012005,General Cell,Human
OACM5.1 C,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/oacm51-c,11012006,General Cell,Human
NCI-H929,Myeloma,Myeloma,Not Specified,https://www.culturecollections.org.uk/nop/product/nci-h929,95050415,General Cell,Human
PSN1,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/psn1,94060601,General Cell,Human
RAJI,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/raji,85011429,General Cell,Human
PE/CA-PJ15,Carcinoma,Squamous Cell Carcinoma,Tongue,https://www.culturecollections.org.uk/nop/product/peca-pj15,96121230,General Cell,Human
MOG-G-UVW,Other,Astrocytoma,Brain,https://www.culturecollections.org.uk/nop/product/mog-g-uvw,86022703,General Cell,Human
SK-GT-2,Carcinoma,Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/sk-gt-2,11012008,General Cell,Human
SHP-77,Cancer,Cancer,Lung,https://www.culturecollections.org.uk/nop/product/shp-77,98110201,General Cell,Human
THP 1,Leukaemia,Monocytic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/thp-1-2,88081201,General Cell,Human
SW 626,Carcinoma,Adenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/sw-626,91091203,General Cell,Human
RPMI 8866,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/rpmi-8866,95041316,General Cell,Human
RPMI 8226,Myeloma,Myeloma,Blood,https://www.culturecollections.org.uk/nop/product/rpmi-8226,87012702,General Cell,Human
Saos-2,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/saos-2,89050205,General Cell,Human
SCC-9,Carcinoma,Squamous Cell Carcinoma,Tongue,https://www.culturecollections.org.uk/nop/product/scc-9,89062003,General Cell,Human
SK-PN-DW,Tumour,Neuroectodermal Tumour,Nerve,https://www.culturecollections.org.uk/nop/product/sk-pn-dw,94092301,General Cell,Human
HT29-MTX-E12,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29-mtx-e12,12040401,General Cell,Human
Karpas 707,Myeloma,Myeloma/Plasmacytoma,Other,https://www.culturecollections.org.uk/nop/product/karpas-707,22110801,General Cell,Human
OAW42-A,Tumour,Tumour,Ovary,https://www.culturecollections.org.uk/nop/product/oaw42-a,20082613,General Cell,Human
FTC-238,Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/ftc-238,94060902,General Cell,Human
COV504,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov504,07071902,General Cell,Human
DLRP,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/dlrp,20082610,General Cell,Human
BL-3,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/bl-3,86062401,General Cell,Bovine
HeLa 229,Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-229,86090201,General Cell,Human
